"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\GChurch.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 8, 39
"d:\GFF Online\gff-online\src\GConversation.ts", "TypeScript", 297, 0, 0, 0, 0, 63, 54, 414
"d:\GFF Online\gff-online\src\GDirection.ts", "TypeScript", 248, 0, 0, 0, 0, 14, 35, 297
"d:\GFF Online\gff-online\src\GInputMode.ts", "TypeScript", 71, 0, 0, 0, 0, 9, 16, 96
"d:\GFF Online\gff-online\src\GRandom.ts", "TypeScript", 47, 0, 0, 0, 0, 7, 11, 65
"d:\GFF Online\gff-online\src\GRoom.ts", "TypeScript", 715, 0, 0, 0, 0, 61, 108, 884
"d:\GFF Online\gff-online\src\GSoundManager.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 15, 90
"d:\GFF Online\gff-online\src\GStronghold.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 5, 22
"d:\GFF Online\gff-online\src\GTown.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 13, 83
"d:\GFF Online\gff-online\src\area.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 1, 5
"d:\GFF Online\gff-online\src\areas\GArea.ts", "TypeScript", 319, 0, 0, 0, 0, 37, 44, 400
"d:\GFF Online\gff-online\src\areas\GWorldArea.ts", "TypeScript", 407, 0, 0, 0, 0, 45, 66, 518
"d:\GFF Online\gff-online\src\assets\audio-manifest.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 47
"d:\GFF Online\gff-online\src\assets\font-manifest.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"d:\GFF Online\gff-online\src\assets\image-manifest.json", "JSON", 0, 257, 0, 0, 0, 0, 0, 257
"d:\GFF Online\gff-online\src\assets\json-manifest.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 50
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\congregation_amen.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 10
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_initial_bye.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_initial_greeting.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\player_introduction.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_initial_bye.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_initial_greeting.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 9
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\sinner_introduction.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"d:\GFF Online\gff-online\src\assets\json\books_info.json", "JSON", 0, 332, 0, 0, 0, 0, 0, 332
"d:\GFF Online\gff-online\src\assets\json\conversations\_church_sermon_template.json", "JSON", 0, 73, 0, 0, 0, 0, 1, 74
"d:\GFF Online\gff-online\src\assets\json\conversations\_duo_template.json", "JSON", 0, 81, 0, 0, 0, 0, 1, 82
"d:\GFF Online\gff-online\src\assets\json\conversations\_solo_template.json", "JSON", 0, 71, 0, 0, 0, 0, 1, 72
