"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"d:\GFF Online\gff-online\src\GChurch.ts", "TypeScript", 2, 0, 0, 1, 3
"d:\GFF Online\gff-online\src\GConversation.ts", "TypeScript", 81, 0, -6, -1, 74
"d:\GFF Online\gff-online\src\GLot.ts", "TypeScript", 506, 0, 140, 44, 690
"d:\GFF Online\gff-online\src\GRoom.ts", "TypeScript", 630, 0, 91, 65, 786
"d:\GFF Online\gff-online\src\GStronghold.ts", "TypeScript", -17, 0, 0, -5, -22
"d:\GFF Online\gff-online\src\GTown.ts", "TypeScript", 19, 0, 0, 2, 21
"d:\GFF Online\gff-online\src\area.ts", "TypeScript", 6, 0, 0, 0, 6
"d:\GFF Online\gff-online\src\areas\GArea.ts", "TypeScript", 14, 0, 0, 3, 17
"d:\GFF Online\gff-online\src\areas\GStrongholdArea.ts", "TypeScript", 473, 0, 55, 67, 595
"d:\GFF Online\gff-online\src\areas\GWorldArea.ts", "TypeScript", 77, 0, 31, 8, 116
"d:\GFF Online\gff-online\src\array.ts", "TypeScript", 13, 0, 0, 3, 16
"d:\GFF Online\gff-online\src\assets\audio-manifest.json", "JSON", 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\font-manifest.json", "JSON", 0, 1, 0, 0, 1
"d:\GFF Online\gff-online\src\assets\image-manifest.json", "JSON", 0, 214, 0, 0, 214
"d:\GFF Online\gff-online\src\assets\json-manifest.json", "JSON", 0, 17, 0, 0, 17
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_bg_captive.json", "JSON", 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\blurb_bio\saint_bio_cv_captive.json", "JSON", 0, 6, 0, 0, 6
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\captive_rejoice.json", "JSON", 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_greet_convert.json", "JSON", 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\blurb_classes\saint_greet_rescue.json", "JSON", 0, 7, 0, 0, 7
"d:\GFF Online\gff-online\src\assets\json\conversations\cheat_conv.json", "JSON", 0, -102, 0, 0, -102
"d:\GFF Online\gff-online\src\assets\json\conversations\latest_update_intro.json", "JSON", 0, 30, 0, 0, 30
