Date : 2025-11-15 21:41:28
Directory : d:\GFF Online\gff-online\src
Total : 151 files,  8736 codes, 1040 comments, 1015 blanks, all 10791 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        121 |      7,473 |      1,040 |      1,004 |      9,517 |
| JSON       |         30 |      1,263 |          0 |         11 |      1,274 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        151 |      8,736 |      1,040 |      1,015 |     10,791 |
| . (Files)                                                                                   |         26 |      2,395 |        297 |        173 |      2,865 |
| areas                                                                                       |          3 |        564 |         86 |         78 |        728 |
| assets                                                                                      |         30 |      1,263 |          0 |         11 |      1,274 |
| assets (Files)                                                                              |          6 |        293 |          0 |          0 |        293 |
| assets\json                                                                                 |         24 |        970 |          0 |         11 |        981 |
| assets\json (Files)                                                                         |          2 |        405 |          0 |          0 |        405 |
| assets\json\blurb_classes                                                                   |          5 |         33 |          0 |          0 |         33 |
| assets\json\blurb_classes (Files)                                                           |          3 |         21 |          0 |          0 |         21 |
| assets\json\blurb_classes\blurb_bio                                                         |          2 |         12 |          0 |          0 |         12 |
| assets\json\conversations                                                                   |         17 |        532 |          0 |         11 |        543 |
| assets\json\conversations (Files)                                                           |          9 |        174 |          0 |          3 |        177 |
| assets\json\conversations\opening_cutscene                                                  |          8 |        358 |          0 |          8 |        366 |
| cutscenes                                                                                   |          6 |        817 |        142 |        120 |      1,079 |
| districts                                                                                   |          7 |        525 |        140 |         95 |        760 |
| game_modes                                                                                  |          1 |          7 |          0 |          2 |          9 |
| goals                                                                                       |          2 |         44 |          8 |         11 |         63 |
| objects                                                                                     |         31 |      1,281 |        145 |        236 |      1,662 |
| objects\chars                                                                               |          8 |        261 |         11 |         37 |        309 |
| objects\components                                                                          |          7 |        604 |         67 |        118 |        789 |
| objects\decorations                                                                         |          5 |         90 |         31 |         18 |        139 |
| objects\obstacles                                                                           |          4 |         30 |          4 |          6 |         40 |
| objects\touchables                                                                          |          7 |        296 |         32 |         57 |        385 |
| regions                                                                                     |         17 |        467 |         60 |         70 |        597 |
| scenes                                                                                      |         13 |      1,008 |        112 |        120 |      1,240 |
| strongholds                                                                                 |          6 |        136 |         43 |         44 |        223 |
| triggers                                                                                    |          9 |        229 |          7 |         55 |        291 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                    | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\GFF Online\gff-online\src\GChurch.ts                                                     | TypeScript |          2 |          0 |          1 |          3 |
| d:\GFF Online\gff-online\src\GConversation.ts                                               | TypeScript |         81 |         -6 |         -1 |         74 |
| d:\GFF Online\gff-online\src\GLot.ts                                                        | TypeScript |        506 |        140 |         44 |        690 |
| d:\GFF Online\gff-online\src\GRoom.ts                                                       | TypeScript |        630 |         91 |         65 |        786 |
| d:\GFF Online\gff-online\src\GStronghold.ts                                                 | TypeScript |        -17 |          0 |         -5 |        -22 |
| d:\GFF Online\gff-online\src\GTown.ts                                                       | TypeScript |         19 |          0 |          2 |         21 |
| d:\GFF Online\gff-online\src\area.ts                                                        | TypeScript |          6 |          0 |          0 |          6 |
